Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,37753
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,96933
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,4647558.000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,19235462
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,82387225
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,44353358
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,7671805
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1170
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,62.99999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,150
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,9.000000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,30
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,16
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,49
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,48
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,26.000000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,6930.000000000001
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,16110
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,8
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,102
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,730
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,20
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,22
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,123
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,78121
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,1
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,79
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,3382.0000000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,4
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,20492
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,32
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,5945
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,8298
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,346
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,55
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,17
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,18.000000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,11.000000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,1219
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,3587336
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,16
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,8
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,166.99999999999997
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,3
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,36.00000000000001
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,84
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,8
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,89.00000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,14
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,26.000000000000004
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,42
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,5
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,4
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,32
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,348
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,23
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,22189
