Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,817
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,590
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1180640
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,15071
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,17876
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1187617
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,215432
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,837.9999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,174
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,7385
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,176982
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,129594
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,117271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,743
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1682
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,397652
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,8958
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,219
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,22591
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,10
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,128
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,31533.000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,6446.000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,31383.999999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3027
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,51895.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,7186
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,429
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1211634
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,108505
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,16793
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,318325
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,76568155
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,81101
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,99
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,35235712
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,3864
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1986313
