Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,87649
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,72336464
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,482.00000000000006
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,30173659
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,18512
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,591368
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,26030789
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,14895588
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1636004
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,450193.99999999994
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1176635
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,21609030
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,20140
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,15763
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,603214
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,195
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,18106278
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,332798930
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,324498043
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,4357695
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,33425484
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,36492626
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,78694
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2839334
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,18854
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,462.99999999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,254134
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,753877
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,721959
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,190
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,379
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,202
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,54.00000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,87
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,401267
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,211524
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,509246
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,760
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,89009
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,100527
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,4300
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,164549
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,118080
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,33797
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,166823
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,4504977
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,4172336
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3778
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,1080
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,589272
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,28024
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,254052.00000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,3223262
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,20258
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,1281
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,5592771
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,28749
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,2544
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1201
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,1632
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,3737.0000000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,5349176
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,205487
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,74062270
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,392280
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,319514
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,14293
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,2465354
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,40314
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,207.00000000000003
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1524
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,18186
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3945
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,1675
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,154537
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,424880
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,74.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,889
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,59999
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,482
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,4727
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,3047
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,1281690
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,3744
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,147
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,55260
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,45539
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,7922930
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,85140
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,15737
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,4196
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,2147
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,2341945
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,371
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,4195
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,180
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,398547
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,34445
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,112661
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,497012
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",2021,8631
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,3950014
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,411
