Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,41559
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,207851
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1815767
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,508474
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,350882
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,4062185
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,226690.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,15378
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,7090
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2643.0000000000005
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,40
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,60141.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,40
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,35
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,21
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,60123.99999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,2635901
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,217
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,5093.999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,152
