Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,215502
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,29754815.000000004
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,4515660
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,3063952
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1812
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,46032
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2664
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,13800.000000000002
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,119139
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,680406
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,3121
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,11482
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,954
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,192628
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,227710
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,8023
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,37595
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,45
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,32216
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,783731
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,82648
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,22267
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,601808
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,70810
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,13356637
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,576
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,3727
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,42556
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,131393
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,7047
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,194085
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,362776
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,13363034
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,2766120
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,225560
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,1030655
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,221.00000000000003
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,10419858
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,3970
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,9111
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,38086
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,232834
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,829132
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,72501
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,96018.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,722559
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,1379
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,39
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,7097
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,13458
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,6194
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,4701.000000000001
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,83
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,4372
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,24773
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,363281.99999999994
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,33429
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,4229481
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,1176432
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,1940.9999999999998
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,368762102
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,22055
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,956625
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,12008
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,2795117
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,19912
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,209058.99999999997
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,5
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,902
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,6186
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,1140
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,6172149
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,1216
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,5470
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,1067536
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,144.00000000000003
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,1410
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,10928
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,77461
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,4195449
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,4431
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,518934
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,7891
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,4654
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,27814.000000000004
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,185173
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,211982.00000000003
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,1078695
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,1698790
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,216.00000000000003
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,3838
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,743777
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,2802
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,6952
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,22970
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,2933
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,467
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,161217
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,202458
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,28239
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,123057
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,51298
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,13633
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,665393
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,869838
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,29419
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,3836
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,22029
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,151
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,143.00000000000003
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,3046
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,52.00000000000001
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",2021,19566
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42308,"Other Vegetable Residues and Waste",2021,3601.0000000000005
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,50900
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",2021,7184
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,261059
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,59755
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,9880
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,40.99999999999999
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",2021,298
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,186.00000000000003
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,1080918
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,30575
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,12600
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,126329
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",2021,19749.000000000004
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,250
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",2021,713
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",2021,40849.00000000001
5,"Mineral Products",526,"Ores, slag and ash",52612,"Uranium and Thorium Ore",2021,35685142
5,"Mineral Products",526,"Ores, slag and ash",52613,"Molybdenum Ore",2021,468
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2021,2164
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,3489
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52702,"Lignite",2021,4225
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,100
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,261094323
