Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,46
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1052
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,32
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,8
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,8
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,33
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,13.000000000000002
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,61
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,152953
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,31
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,440033
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,31
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,10
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,19
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,109730
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,5
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,54.00000000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,5
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,237
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,67
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,5296
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,10764.000000000002
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,74514
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,54.00000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,1268
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,1663
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,325
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,1307
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,49.00000000000001
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,102876
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,63
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,10027.999999999998
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73903,"Styrene Polymers",2021,780
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,11001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,1320
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,2807
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,44274
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,14393
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,574
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,28
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,780.9999999999999
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,1486
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,139.00000000000003
9,"Wood Products",944,"Wood, wood articles, & charcoal",94403,"Rough Wood",2021,328001
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,13302
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,311
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,12467
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,5
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",2021,153
11,"Textiles",1152,"Cotton",115210,"Light Mixed Woven Cotton",2021,36.00000000000001
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115901,"Gum Coated Textile Fabric",2021,22.000000000000004
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,994.0000000000001
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,183
11,"Textiles",1161,"Knitted clothing accesories",116111,"Knit Babies' Garments",2021,88.00000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",2021,40.99999999999999
11,"Textiles",1163,"Used clothes & textile articles",116305,"Packing Bags",2021,275
11,"Textiles",1163,"Used clothes & textile articles",116306,"Awnings, Tents, and Sails",2021,667
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",2021,5
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,23
12,"Footwear and Headwear",1264,"Footwear",126405,"Other Footwear",2021,451
12,"Footwear and Headwear",1267,"Feather articles, feathers, artificial flowers, & articles of human hair",126704,"Fake Hair",2021,17
