Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,6395861
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,99752
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,2479707
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,708248
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,132754
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,464311.99999999994
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,19186902
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,343921
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3117519
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,9378078
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1680792
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,646701
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1471475
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,28976838.999999996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,6294437989
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1827325433
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,3648247127
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1006130230
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,202666151
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4781675
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,4901527
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,5639098.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,885301
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,23947857
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,26269
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,32097174
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,450131.99999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,12183
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,508010
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,20167.999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,7235
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,6889860.000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,475329
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,76320
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,9556
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,444778.99999999994
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,57885156
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,53634
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,314395
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,49081
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,5806268
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6076.999999999999
