Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,3000
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,252062
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,139029561
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2502
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,18607
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1535
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,128
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1039.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,2755
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,276.99999999999994
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,4701.000000000001
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,820
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,3906
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,136487
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,187
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,1984
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,356
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,1515
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",2021,38766608
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",2021,53795
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,43
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,24311
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,28084
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",2021,5331
6,"Chemical Products",628,"Inorganic chemicals",62834,"Nitrites and Nitrates",2021,21390
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,23
6,"Chemical Products",628,"Inorganic chemicals",62847,"Hydrogen peroxide",2021,1891
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,96.99999999999999
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,3568
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,34261
6,"Chemical Products",631,"Fertilizers",63105,"Mixed Mineral or Chemical Fertilizers",2021,5251
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,876
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,1779
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,3972
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,191
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,30563.000000000004
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,524
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,35
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63507,"Enzymes",2021,483080.99999999994
6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",2021,11681
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,17349
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,433
