Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,7599
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3869
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,3600
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,29929.000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,354
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,9485
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,73882
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,2892
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,1142.0000000000002
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,15231
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,2722
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,362.00000000000006
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,1
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,125468
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,79084
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,240
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,7691
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,2935
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,254
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,377.99999999999994
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,622
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,30230.999999999996
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,12379.000000000002
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,634
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,128
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,742
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63407,"Pastes and Waxes",2021,4
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,57876.99999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,326
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,3445.0000000000005
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,795
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,580
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,2653
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,86
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,138
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,758
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,380
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,1950.0000000000002
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,939
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,112
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,715
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,11117
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,65
9,"Wood Products",944,"Wood, wood articles, & charcoal",94415,"Wood Crates",2021,12355
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,6995
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,4221
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,1390
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,13.999999999999998
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,13.000000000000002
11,"Textiles",1155,"Man-made staple fibres",115512,"Synthetic Fabrics",2021,2806
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115603,"Non-woven Textiles",2021,55965
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115607,"Twine and Rope",2021,4397
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115906,"Rubber Textile Fabric",2021,7311
11,"Textiles",1160,"Knitted fabrics",116002,"Light Rubberized Knitted Fabric",2021,12365
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,143.00000000000003
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,32
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",2021,31
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,2805
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,286
11,"Textiles",1161,"Knitted clothing accesories",116115,"Knit Socks and Hosiery",2021,51
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",2021,118.00000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,36604
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,2366
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,65
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,121
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,117
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",2021,162
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,93765
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",2021,1710
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,179
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,98
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136804,"Milling Stones",2021,10776
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136815,"Other Stone Articles",2021,302
13,"Stone And Glass",1370,"Glass & glassware",137007,"Safety Glass",2021,276
13,"Stone And Glass",1370,"Glass & glassware",137009,"Glass Mirrors",2021,21
13,"Stone And Glass",1370,"Glass & glassware",137013,"Interior Decorative Glassware",2021,57.99999999999999
13,"Stone And Glass",1370,"Glass & glassware",137020,"Other Glass Articles",2021,234
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147102,"Diamonds",2021,4677
