Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,106395509
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,185461798
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,3876831
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,33955200
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,3129026
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,377559129
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2457436659
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1789388
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2858555859
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,30464.000000000004
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,257532660
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,30216677
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,110860716
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,26659
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,8598514
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1131925
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,146420785
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,275314194
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,263214778
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,10733373
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,277529219
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,190851741
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,877146494
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,6820068590
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,121325569
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,453826826
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1943718144
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1550963619
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,13636019
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,308131
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,352059165
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,3875923
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,261641192
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,3031959
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,20850781
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,75342679
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,2540918
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,11517410
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,98992100
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,33791038
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,3922349
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,9369935
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,4293954
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,13015710
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,4052105.9999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,111232777
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1943343
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,997486
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,6359049
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,260174.00000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,147217
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,80120727
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,114182564
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,446460
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,8185140
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,26243830
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,139943
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,248588
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,780084
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,188092
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,91319649
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,9142898
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1157557
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,1210916
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,681896377
