Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,95043
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,2510098
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,65794110.99999999
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,411675.99999999994
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,23870056.999999996
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,89387
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2263896
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,406022
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1056308
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,39772
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,60807104
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,442590.99999999994
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1555
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,105750
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,51733278
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,254973017
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,5772330
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,7663860.000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,10031342
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,53600437
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,7526490
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,264892072
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,758530
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,116932
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,294945
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,12283331
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,15882934
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,113242
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3377845
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,3506
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,3805
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,511
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2613290
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,4972
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,275497
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,105844
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,37274
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,598040
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1260129
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,3033562
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,652405
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,513304
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,3416386
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,91770.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,4207623
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,25232500
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1576261
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,482990
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,137790
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,3989087
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,412456
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,739992
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,2523859
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,479967
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,20470425
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,9539886
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,2826219
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,8196616
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1573972
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,318726
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,3138710
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1906
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,517262
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,3537
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,976888
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,8537545
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,1126472
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,24481.000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,58418
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,45492.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,860582
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,373033
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,5165538
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,3748028
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,35298410
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,45303.00000000001
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,89555629.99999999
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,28517388
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,162175
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,208676
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,81432374
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,1242410
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,3391386.0000000005
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,3890062.0000000005
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,64857
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,214183
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,314266
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,41508
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,82298116
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,1570683
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,18607
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,53585
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,711316
