Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,339974
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,12815
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,3123275
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2514995
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,24804.000000000004
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,503863
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,4454767
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,295976
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,681756
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,110005
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,3
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,103
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,3743262
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,8516454
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,164370681
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,171572326
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,54392249
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,224129728
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,505095665
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1564621
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,23939018
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,288578
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,8205
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,6124
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,2886768.0000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,296862
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1658608.9999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,18954
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,33
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,2165489
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,967660
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,99
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,106744
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,1311738
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4513530
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,15218417
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,514794
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,9446956
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,3655799
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2255019
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1080727
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,139858659
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,170856
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,581232
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,735275
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,16778
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,45767602
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,502320270
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,81123441
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,14059212
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,19685084
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,65471531
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,9127225
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,49384728
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,3875361
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,198183391
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1693297488
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,310777635
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1352467675
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,3486029
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1763963.9999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1620853
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1465342368
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,312732515
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,1059242
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,4568395
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,10548079
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,755699341
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,4103963
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,82865
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,110165247
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,51085
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,159955
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,34354
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,15920
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,99862
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,116519327
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,146201
2,"Vegetable Products",210,"Cereals",21002,"Rye",2021,393
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,197113
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,5922
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,19810178
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,595612
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,42596
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,109865507
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,1498654
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,5141345
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,759704
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,7959102
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,169284
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,22446074
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,239090.00000000003
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,553510
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,16872
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,15690
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,3448138
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,99490
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,494
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,119739.00000000001
