Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,664
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,13290
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,723
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,5064
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1025264
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,15800162
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,52870
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,391532
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,580917
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,122
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,9.000000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1529
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,108863.99999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1769143
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,5980
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,45998.00000000001
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,7019
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,4355
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,105
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1763.0000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,20
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,2433
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,20
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,11.000000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,93.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,445
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,34747
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,2521
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1601
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,21
