Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,130485
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,4574
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,64032
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2651081
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,19
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,553105.0000000001
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,528623
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,102544
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,505268.00000000006
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,44339
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,166289.99999999997
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,136561
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,124774847
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,21658038
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,75095043
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,96444814
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,11590604
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,38292318
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,31458855
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,893607
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,11258274
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,7066776
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,207857
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,735893.9999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,3062922
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,99650
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,18394
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,26314
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,1269
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,60
