Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,80801
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,223.99999999999997
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,111.99999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,751055
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2242
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,129
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,795.9999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,89939
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,60654
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,391
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,419
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,458.99999999999994
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1174.0000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,161
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,17555
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,7216
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,6866606
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,8077.999999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,53410
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,1150
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,38
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",2021,83751
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,4157
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,43883.99999999999
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,45
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,12885
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,14254.000000000002
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,598
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,24
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,1242
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,98
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,805
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,1930
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,12
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,6504
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,1377
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,924
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,33
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,611
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,800
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,125
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,1850
9,"Wood Products",944,"Wood, wood articles, & charcoal",94403,"Rough Wood",2021,5051
10,"Paper Goods",1047,"Wood pulp & paper scrap",104707,"Recovered Paper",2021,23611
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,15982.999999999998
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,39
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,75
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,49
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,12334
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,233.99999999999997
11,"Textiles",1152,"Cotton",115203,"Prepared Cotton",2021,91062.00000000001
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,147
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",2021,402
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",2021,332
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,3285
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,12
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,276.99999999999994
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,400
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,481.00000000000006
11,"Textiles",1163,"Used clothes & textile articles",116301,"Blankets",2021,248
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",2021,14867
11,"Textiles",1163,"Used clothes & textile articles",116304,"Bedspreads",2021,33751
11,"Textiles",1163,"Used clothes & textile articles",116305,"Packing Bags",2021,1274
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,1726
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136810,"Cement Articles",2021,260
13,"Stone And Glass",1370,"Glass & glassware",137010,"Glass Bottles",2021,16
15,"Metals",1572,"Iron & steel",157204,"Scrap Iron",2021,3933.0000000000005
15,"Metals",1572,"Iron & steel",157216,"Iron Blocks",2021,863
15,"Metals",1573,"Iron/Steel Articles",157315,"Iron Chains",2021,150
