Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,371663.99999999994
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,84223
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,3058.0000000000005
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,35
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,80
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,100.99999999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,397.99999999999994
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,305
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,99
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,24464.000000000004
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,405
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,24974
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,966
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,6302.000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,14637.999999999998
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,16418
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,1154.0000000000002
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,654
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,39
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,152
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,74762
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,26390
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,1672
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,3
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,10
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,1
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,48
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,55
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,73
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,2952
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,20
10,"Paper Goods",1049,"Books, newspapers, & other prints",104909,"Postcards",2021,420
