Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,950705
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,27.000000000000004
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,288380
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,4734174
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,12775044
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,662356
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,114151.00000000001
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2193941
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,17969
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,192345
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,13835.999999999998
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,8697
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,5694
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,82996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,325
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,20355
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,178409
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,62371
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,7822.999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1130338
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,40961
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,157704
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,32101
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1331185
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,5016099
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,96
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,232936
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,72554
