Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,8452104
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,206965318
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,763720
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,317654373
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,32299821
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,4844313
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,26259615
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,14905914
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,9275414
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,29288724
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,34968417
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,7003223
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,141701218
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,588270
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1859639
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,11348166
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,449745
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2422499
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4439927
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,5234327.999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,4830279
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,3251533
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,7520547
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,30226414
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,14451553
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,45710879
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3078367
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2962396
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,67283854
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,20047539
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1920921
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,61360439
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,1577801
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,1979
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,17033749
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,9745115
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,2115721
