Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,359205
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,6101274.999999999
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,14837129
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,23525766
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,23235909.999999996
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1148931
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,10595017
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,25134
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1474318
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,591627
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,138138053
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1333946
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,87691
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,419423
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,13436242
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,6519297
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1631654
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,100878
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,117315840
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3385464.9999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,188895674
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,324819204
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,183633636
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,428851
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,36382273
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,318741328
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,22252303
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,586026
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,28006498
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,6069.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,573406
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1652
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,2739
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,56032
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,3333
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,508516
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,1828
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,15737773
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,76780
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,254261
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,102523
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1823979
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1043768
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,4515409
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,2035107
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,2989938
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,2374324
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,8080886
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,16101008
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,4607590
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,233781
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,150215
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,6831332
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,487700.99999999994
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,381488
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,3071065
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,591843
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,341669709
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,9816505
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1894743
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,419314
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,2679067
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1378145
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,3271025
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,294297
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,117199
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1742030
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,14304170
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,16739106
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,5517
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,1033991
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,1411964
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,496862
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,391755
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,10970957
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1040299
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,4166043
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,397193.99999999994
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,25838.999999999996
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,21750
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,53833
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,8072153
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,2450
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,58114
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,2784521
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,355270
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,682596
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,1016218
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,1061930
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,1927444
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,14214
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,8465139
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,276957.99999999994
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,18629
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,110455
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,15979
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,1062
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,575455
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,1551636
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,8835
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,789312
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",2021,50
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,2324509
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,1121073
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,162659
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,346056.99999999994
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,789665
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,5491974
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,39274
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,155666
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,2041951
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,1877906
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,100.99999999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,424890
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,47881
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,83640645
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,305
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,2295546
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,19730
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,75619746
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,58619632
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,17196955
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,3433145
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,57349829
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,19608905
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,5025824
