Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,916694
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,211641.99999999997
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,22739
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,17662996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,297377588
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,7715944
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,184328
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,326
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,563834
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4348795
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,174
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,81
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,309
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,2253
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,26600
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,529503
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,2436145
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,87
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,52666.00000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,44
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,2825
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,293713
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,124
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,1047
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,445714
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,148831.00000000003
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,611492
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,124
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,19000.999999999996
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,879
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,4099295
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,1371840
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,335
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,13545
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,136
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,98001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,219482
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,96
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,271575379
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,4064109
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,3516.0000000000005
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,13464
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,283156
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,73
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,357
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,8049
