Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,26349
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,51972143.99999999
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,238858204
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,167963191.99999997
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,66711623
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,19723
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,58490810
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,99042
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,182438
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,911955
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,32781
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2720295
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,30127
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,53455
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,86726.00000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2365
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,15118.999999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1222
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,275766
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,58492
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,2525246
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,287474
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,316106
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,8981
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,193696
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,9321
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,90033
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,49
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1702
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1872906
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,26819
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,77484
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,937
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,35003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,102150137.00000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,2619
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,2406
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,155490.99999999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,3443777.0000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1481928
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,16667
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,607
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,3062147
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,30530
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,221409
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1577
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,23087
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,429
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,635544
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,13964.000000000002
