Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,19483414
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1843982
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,262757
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,297288
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,14474279
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,4121934.9999999995
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,7446140.999999999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,3871867
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,53695736
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1440105
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,132631
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,19827645
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,50515264
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,5754736
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,6195170
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,11202353
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,38295491
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2202749209
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,152524329
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,459623044
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,350664237
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,16634799
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3603793
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,13150412
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,188341026
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,26422670
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,20940129
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,15669864
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,130226571
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,16130780
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,10331172
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1012623
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,160505
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,66298
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,10114
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,9348317
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,121040
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,826013
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,27205
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,18831
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,1355151
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,33930468
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,4205554
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,14827975
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2837928
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,5203537
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6893638
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,903007
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1779260
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,8532523
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,21007391
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,3913173
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,548958
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,920558
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,22437308
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,16814015
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,2025389.9999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,3880368
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,10091317
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,264864
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1678059
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,15008111
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,35814645
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,2712750
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,12864491
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,4114929
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,233133
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,4430759
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,712838
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,17412742
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,56789603
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,202803
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1794321
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,68718.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,142688829
