Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1311625
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,65
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,5645
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,809200
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1251390
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,19179263
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,27085780
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,5696496
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2642086
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,48380995
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,27514
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,14382
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,197358
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,42961873
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,6677261
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,48684844
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,20638549
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,14385929
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,17340846
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,6301459
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,7570995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,146470904
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,8499321
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,31305029
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,9688668
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,21627547
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1930910.0000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,174432.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1554599
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,14625855
