Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,7191
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,25716225
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,776009
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,3438
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,7694994.999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,12107.999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,163
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,81
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,296.00000000000006
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,390
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,80
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,27716
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,807.9999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,83
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,25
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,9.000000000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,74.00000000000001
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,23092
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,2668.9999999999995
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1080
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,2080
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,98
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,174
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,50
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,303
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,212
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,3916.0000000000005
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,14847
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,742
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,105949
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",2021,100
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2021,593
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",2021,91118
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,3668.9999999999995
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,201697
6,"Chemical Products",631,"Fertilizers",63105,"Mixed Mineral or Chemical Fertilizers",2021,223
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,85
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,2
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,2219
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,18.000000000000004
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,30
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,237
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,159
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,338
6,"Chemical Products",638,"Chemical products n.e.s.",63819,"Hydraulic Brake Fluid",2021,47
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,149361.00000000003
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,841
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,3447
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,131
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,6371
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,43
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,25456.999999999996
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,57.99999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,41
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74001,"Rubber",2021,130263
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,3162.9999999999995
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,111668
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,218
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,3416.9999999999995
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,5423.999999999999
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,44.00000000000001
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,3880
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,52.00000000000001
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,40
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,165
10,"Paper Goods",1049,"Books, newspapers, & other prints",104909,"Postcards",2021,8
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",2021,3048
11,"Textiles",1158,"Special woven fabrics and tapestries",115804,"Tulles and Net Fabric",2021,3593
11,"Textiles",1158,"Special woven fabrics and tapestries",115806,"Narrow Woven Fabric",2021,3
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115911,"Textiles for technical uses",2021,452.99999999999994
11,"Textiles",1160,"Knitted fabrics",116001,"Pile Fabric",2021,3748
11,"Textiles",1161,"Knitted clothing accesories",116102,"Knit Women's Coats",2021,252
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,23
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",2021,497.00000000000006
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",2021,109
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,112883.00000000001
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,2474
11,"Textiles",1161,"Knitted clothing accesories",116115,"Knit Socks and Hosiery",2021,15
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",2021,11043
11,"Textiles",1162,"Non-knitted clothing accesories",116202,"Non-Knit Women's Coats",2021,14035
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,591
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,342
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,86
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,44.00000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,2060
11,"Textiles",1162,"Non-knitted clothing accesories",116214,"Scarves",2021,172
11,"Textiles",1163,"Used clothes & textile articles",116304,"Bedspreads",2021,50957
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,976
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",2021,10665
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,452.99999999999994
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,36.00000000000001
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136805,"Abrasive Powder",2021,932
13,"Stone And Glass",1369,"Ceramic products",136907,"Unglazed Ceramics",2021,2065
13,"Stone And Glass",1369,"Ceramic products",136910,"Bathroom Ceramics",2021,15130.999999999998
13,"Stone And Glass",1369,"Ceramic products",136912,"Ceramic Tableware",2021,1024
13,"Stone And Glass",1370,"Glass & glassware",137001,"Glass Scraps",2021,170
13,"Stone And Glass",1370,"Glass & glassware",137013,"Interior Decorative Glassware",2021,242
13,"Stone And Glass",1370,"Glass & glassware",137017,"Laboratory Glassware",2021,5602
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147106,"Silver",2021,58529
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147108,"Gold",2021,13136
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147113,"Jewellery",2021,8876
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147115,"Other Precious Metal Products",2021,4423
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",2021,19
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147118,"Coin",2021,1587
15,"Metals",1572,"Iron & steel",157222,"Other Stainless Steel Bars",2021,900
15,"Metals",1572,"Iron & steel",157223,"Stainless Steel Wire",2021,400
15,"Metals",1573,"Iron/Steel Articles",157304,"Iron Pipes",2021,10
15,"Metals",1573,"Iron/Steel Articles",157307,"Iron Pipe Fittings",2021,96.99999999999999
15,"Metals",1573,"Iron/Steel Articles",157309,"Large Iron Containers",2021,366
15,"Metals",1573,"Iron/Steel Articles",157310,"Small Iron Containers",2021,72.00000000000001
15,"Metals",1573,"Iron/Steel Articles",157311,"Iron Gas Containers",2021,498
15,"Metals",1573,"Iron/Steel Articles",157312,"Stranded Iron Wire",2021,300
15,"Metals",1573,"Iron/Steel Articles",157317,"Iron Nails",2021,268.99999999999994
15,"Metals",1573,"Iron/Steel Articles",157318,"Iron Fasteners",2021,1013
15,"Metals",1573,"Iron/Steel Articles",157319,"Iron Sewing Needles",2021,100.99999999999999
15,"Metals",1573,"Iron/Steel Articles",157320,"Iron Springs",2021,4000
15,"Metals",1573,"Iron/Steel Articles",157321,"Iron Stovetops",2021,13.999999999999998
15,"Metals",1573,"Iron/Steel Articles",157323,"Iron Housewares",2021,1911
15,"Metals",1573,"Iron/Steel Articles",157326,"Other Iron Products",2021,437
15,"Metals",1574,"Copper articles",157404,"Scrap Copper",2021,2338
15,"Metals",1574,"Copper articles",157412,"Copper Pipe Fittings",2021,2
15,"Metals",1574,"Copper articles",157419,"Other Copper Products",2021,8011.000000000001
