Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4035401
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,67086319
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,4443424
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,19178
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,2344728
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1030624
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,26778038
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1550615
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,17650656
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1891943
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,165265
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4397528
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,70130563
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,19064782
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1030087
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,7695090
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,220606
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,15629470
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2164505
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,23615492
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1189421
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2038951
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,12210278
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,137435078
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,4439897
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,30699717
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1991722.9999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1238887
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,39284520
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,7901516
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,272427
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5439989
