Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1812173
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,70499130
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,57077962
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1498666
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,34902925
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,26716671
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,8537117
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,969910
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,48599780
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1849051
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,33438
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4792619
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,43396813
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2909007
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,2184969
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,4985269
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,2084553
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,796666
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4806070
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,3504066
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,262055
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1050549
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,567176
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,76210528
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,12562893
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,9196869
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,10912769
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,11600655
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,177972312
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,40046516
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1944905
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,7045626
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,23622
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,15139.000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,309
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,19537589
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1829250
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,346156
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,4212462
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,34152
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,90506
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,5864401
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,368807
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,22539813
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,5283066
