Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2072504
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,11.000000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,31.000000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,92569.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5691
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,87172
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,5525
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,86826
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,51467
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,293
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,16977
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,4975
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,9.000000000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,13321
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,411017
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,353475
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,1452
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,32902.00000000001
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,58634.99999999999
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,347072
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,1557
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,7399
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,16149.999999999998
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,18571
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,927.9999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,199105
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,253949.99999999997
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,102.00000000000001
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,5345
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,17802237
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,27750.999999999996
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,108954
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",2021,11888
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,6589.999999999999
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,788157
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,2623483
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,143053.99999999997
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,3516
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,1663
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,38378
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,488
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",2021,1848
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,1459
6,"Chemical Products",628,"Inorganic chemicals",62847,"Hydrogen peroxide",2021,7525
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",2021,980
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",2021,955
6,"Chemical Products",629,"Organic chemicals",62917,"Polycarboxylic Acids",2021,3
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",2021,4
6,"Chemical Products",629,"Organic chemicals",62931,"Other Organo-Inorganic Compounds",2021,10642.000000000002
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,411718
6,"Chemical Products",629,"Organic chemicals",62939,"Vegetable Alkaloids",2021,25494
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,59965
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,19895
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,3825037
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,10466590
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,89529
6,"Chemical Products",631,"Fertilizers",63101,"Animal or Vegetable Fertilizers",2021,3299
6,"Chemical Products",631,"Fertilizers",63102,"Nitrogenous Fertilizers",2021,467
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,59575
6,"Chemical Products",632,"Paints, dyes, & varnishes",63206,"Other Coloring Matter",2021,181.00000000000003
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,215573
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,138052
6,"Chemical Products",632,"Paints, dyes, & varnishes",63210,"Other Paints",2021,3511
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,2947
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,558
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,9950
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,3208
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,277454
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,961054
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,1507929
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,84888
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,1641710
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,288778
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,2976643
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,70257
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,34
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,75754
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63507,"Enzymes",2021,236821
6,"Chemical Products",637,"Photo & movie goods",63701,"Photographic Plates",2021,18.000000000000004
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,21392212
6,"Chemical Products",638,"Chemical products n.e.s.",63809,"Dyeing Finishing Agents",2021,564739
6,"Chemical Products",638,"Chemical products n.e.s.",63812,"Prepared Rubber Accelerators",2021,23765
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,15948
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,159146
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73902,"Propylene Polymers",2021,48162
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73903,"Styrene Polymers",2021,1347
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73905,"Other Vinyl Polymers",2021,245
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,96658.00000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,14374
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73908,"Polyamides",2021,24556
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,25134
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73910,"Silicone",2021,41796
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73912,"Cellulose",2021,873
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,2308913
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,516992
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,268
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,110894
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,253034
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,147426
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,243746
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,8659
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,40040.00000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,634577
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74002,"Synthetic Rubber",2021,241.00000000000003
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74003,"Reclaimed Rubber",2021,2014.9999999999998
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74005,"Compounded Unvulcanised Rubber",2021,1817983
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,151413
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,457977
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,24956
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74014,"Pharmaceutical Rubber Products",2021,26.000000000000004
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,351.00000000000006
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,40155
8,"Animal Hides",841,"Raw hides & skin (non-fur)",84104,"Tanned Equine and Bovine Hides",2021,117
8,"Animal Hides",842,"Leather articles",84201,"Saddlery",2021,676.9999999999999
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,51994
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,20453
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84301,"Raw Furskins",2021,48657
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84302,"Tanned Furskins",2021,3665
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84303,"Furskin Apparel",2021,591933.9999999999
9,"Wood Products",944,"Wood, wood articles, & charcoal",94402,"Wood Charcoal",2021,579
9,"Wood Products",944,"Wood, wood articles, & charcoal",94409,"Shaped Wood",2021,358206
9,"Wood Products",944,"Wood, wood articles, & charcoal",94411,"Wood Fiberboard",2021,8
9,"Wood Products",944,"Wood, wood articles, & charcoal",94415,"Wood Crates",2021,402
9,"Wood Products",944,"Wood, wood articles, & charcoal",94417,"Wooden Tool Handles",2021,462
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,10513
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,22325
9,"Wood Products",944,"Wood, wood articles, & charcoal",94420,"Wood Ornaments",2021,3943
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,29651
10,"Paper Goods",1047,"Wood pulp & paper scrap",104706,"Recovered Paper Pulp",2021,875
10,"Paper Goods",1048,"Paper articles",104808,"Corrugated Paper",2021,57580
10,"Paper Goods",1048,"Paper articles",104811,"Cellulose Fibers Paper",2021,6114
10,"Paper Goods",1048,"Paper articles",104813,"Cigarette Paper",2021,1610830.9999999998
10,"Paper Goods",1048,"Paper articles",104814,"Wallpaper",2021,544
10,"Paper Goods",1048,"Paper articles",104816,"Other Carbon Paper",2021,427.00000000000006
10,"Paper Goods",1048,"Paper articles",104817,"Letter Stock",2021,10312.000000000002
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,153236
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,644445
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,253.00000000000003
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,230221
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,147965
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,219054
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,6.999999999999999
10,"Paper Goods",1049,"Books, newspapers, & other prints",104907,"Documents of title (bonds etc) and unused stamps",2021,11219
10,"Paper Goods",1049,"Books, newspapers, & other prints",104908,"Decals",2021,1583.9999999999998
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,299694
11,"Textiles",1150,"Silk",115007,"Silk Fabrics",2021,527234
11,"Textiles",1151,"Wool & animal hair",115106,"Non-Retail Carded Wool Yarn",2021,11437.000000000002
11,"Textiles",1151,"Wool & animal hair",115107,"Non-Retail Combed Wool Yarn",2021,385375
11,"Textiles",1151,"Wool & animal hair",115111,"Carded Wool or Animal Hair Fabric",2021,766254
11,"Textiles",1151,"Wool & animal hair",115112,"Combed Wool or Animal Hair Fabric",2021,726132
11,"Textiles",1152,"Cotton",115205,"Non-Retail Pure Cotton Yarn",2021,210092
11,"Textiles",1152,"Cotton",115206,"Non-Retail Mixed Cotton Yarn",2021,11960.999999999998
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",2021,743311
11,"Textiles",1152,"Cotton",115209,"Heavy Pure Woven Cotton",2021,457324
11,"Textiles",1152,"Cotton",115210,"Light Mixed Woven Cotton",2021,148780
11,"Textiles",1152,"Cotton",115211,"Heavy Mixed Woven Cotton",2021,321491
11,"Textiles",1152,"Cotton",115212,"Other Cotton Fabrics",2021,2800
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115306,"Flax Yarn",2021,62931.99999999999
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115309,"Flax Woven Fabric",2021,253788
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115311,"Other Vegetable Fibers Fabric",2021,6792.999999999999
11,"Textiles",1154,"Man-made filaments",115401,"Artificial Filament Sewing Thread",2021,242833
11,"Textiles",1154,"Man-made filaments",115402,"Non-Retail Synthetic Filament Yarn",2021,19918
