Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,23267
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,25399
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,268170
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,34531
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,15377
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,23128
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,12584
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,27190
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,5346
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,86649
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,51357.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,37141906
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,311848017
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,16692091
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,9076350
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,55341522
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,79495065
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,611043
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,5892590
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1715849
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,66243
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,45573
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,49965
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1404737
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,14456.000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,261
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,37464
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,295322
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,648955
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,341813
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,74286
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,473962
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,358715
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,58954
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,301685
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,15479356
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,16224321
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,390728
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,114637
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,3570193
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,44914230
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,37687253
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,2040941
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,5297
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,96346
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,715537
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,208403
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,104611202
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,118397
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,150728
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,27377926
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,22671
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,7176
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,25461386
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,51868
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,39899
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,349440
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,979
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,1429.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,110050
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,352154
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,339212
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1438397
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,149846
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,3132
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,85
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,202.00000000000003
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,588
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,143
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,282777
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,3190490
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,379558.00000000006
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,44136138
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,37715.99999999999
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,611702
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,13919968.000000002
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,742287
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,666216
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,77699
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,42736
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,348859
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,6501
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,205928
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,662305
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,1996130
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,337532691
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,8398
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,7510973
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,8519
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,155602
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,1332685
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,1090209
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,3628
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,5631194
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,28080
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,7043
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,36757
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31503,"Lard stearin and oils",2021,814966.0000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,2762550
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,80536
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,43
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,42411.99999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,41524019
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,128534
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,2082
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,1352483
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,100
