Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,37372088
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,213106260
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,11563811.000000002
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,145921
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1987876
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,91236
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,173632
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,26687
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,6840567
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,868295
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1369371.9999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,12233327.000000002
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,6059176
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,148621
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,23959
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,930.9999999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,28149
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,78309
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,614
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,13.000000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1704
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,9450
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,6876
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,195911
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1575.9999999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,10085547
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1304
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,2
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,51339.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,9023
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,42
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,64
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,81306
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,17700
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,272856
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,35911
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,1051
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,389991
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,121261.00000000001
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,299734
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,9267.999999999998
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,40493
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,35054586
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,13327
