Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,10597.999999999998
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1592326
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,224539
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4438
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,2074441.0000000002
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,70
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,113410
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,120488
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,23472938
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,49843414
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,20255441
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,7462025.000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,7675745
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4043
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,325785
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,85800
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,53977
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5971
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,94027
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,199906
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,43934
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,138544
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,83987
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2245
