Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,99
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,342732
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,22.000000000000004
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,650.9999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1516
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,666392
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,991078
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,585
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,47117
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,3165
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,44.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,362
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,3310
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,51
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,5194
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1745
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,165
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,121.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3787.0000000000005
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,786
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,76231
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,33655
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,206703.99999999997
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,24194.000000000004
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,1000.9999999999999
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,489
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,231
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,114
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,596914
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,347.00000000000006
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,109124
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,33520
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,11040
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,8002
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,38467
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,381956
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,15793
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,88611
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,26207
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,9441
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,58207
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,74461
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,74157
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,31812.000000000004
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,3166.0000000000005
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,2864.9999999999995
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,2742
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,23784
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,37.00000000000001
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,188.99999999999997
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,387478.99999999994
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,4945
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,536
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,17660
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,1007684
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",2021,1505
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,31333158.999999996
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,6172.000000000001
6,"Chemical Products",628,"Inorganic chemicals",62821,"Iron Oxides and Hydroxides",2021,179
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,273.99999999999994
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,1039.0000000000002
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,4008
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",2021,818
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,1510
6,"Chemical Products",629,"Organic chemicals",62914,"Ketones and Quinones",2021,1261
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",2021,2699
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",2021,20
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",2021,4058
6,"Chemical Products",629,"Organic chemicals",62928,"Hydrazine or Hydroxylamine Derivatives",2021,1633
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,10
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,45897
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,366313
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,560
6,"Chemical Products",631,"Fertilizers",63105,"Mixed Mineral or Chemical Fertilizers",2021,388745
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,3157
6,"Chemical Products",632,"Paints, dyes, & varnishes",63213,"Artistry Paints",2021,2
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,30439
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,702.0000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,846
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,150347
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,11691.000000000002
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,1048
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,2609
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,797.9999999999999
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,5170
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,28620
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,47284
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,34
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,132
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63407,"Pastes and Waxes",2021,8511.000000000002
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,30956
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,1061
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,5904
6,"Chemical Products",638,"Chemical products n.e.s.",63816,"Refractory Cements",2021,13399
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,4781
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,63297
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,47567
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,460009
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73912,"Cellulose",2021,5970
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,1279
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,48907.00000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,29635
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,24044
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,109
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,438
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,60073
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,18767
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,17
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,16694
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,17
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,624
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,8595
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,2067
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,5431
8,"Animal Hides",841,"Raw hides & skin (non-fur)",84102,"Sheep Hides",2021,8193
8,"Animal Hides",841,"Raw hides & skin (non-fur)",84104,"Tanned Equine and Bovine Hides",2021,866
8,"Animal Hides",842,"Leather articles",84201,"Saddlery",2021,79
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,27796
9,"Wood Products",944,"Wood, wood articles, & charcoal",94407,"Sawn Wood",2021,17152
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,408
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,278.99999999999994
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,87
10,"Paper Goods",1048,"Paper articles",104805,"Other Uncoated Paper",2021,9212
10,"Paper Goods",1048,"Paper articles",104806,"Vegetable Parchment",2021,1092
10,"Paper Goods",1048,"Paper articles",104814,"Wallpaper",2021,163
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,71771
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,7121.000000000001
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,55.99999999999999
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,1002
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,732
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,88.00000000000001
10,"Paper Goods",1049,"Books, newspapers, & other prints",104905,"Maps",2021,70
10,"Paper Goods",1049,"Books, newspapers, & other prints",104908,"Decals",2021,106
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,1095
11,"Textiles",1152,"Cotton",115211,"Heavy Mixed Woven Cotton",2021,1092
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115309,"Flax Woven Fabric",2021,1581.9999999999998
11,"Textiles",1154,"Man-made filaments",115407,"Synthetic Filament Yarn Woven Fabric",2021,2106
11,"Textiles",1155,"Man-made staple fibres",115503,"Unprocessed Synthetic Staple Fibers",2021,7551
11,"Textiles",1155,"Man-made staple fibres",115508,"Non-Retail Artificial Staple Fibers Sewing Thread",2021,252
11,"Textiles",1155,"Man-made staple fibres",115510,"Non-Retail Artificial Staple Fibers Yarn",2021,6881
