Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,7222.999999999999
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,639
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1740
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,17
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,322
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,7688
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1989
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,505
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,48
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,2072
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,594
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,939
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,4195
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,50380
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,818
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,2279385
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,131489207.00000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,9731
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,20443936
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,5993
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,11233.999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,15375
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,120
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,672
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,385
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,9.000000000000002
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,4388
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,2991
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,151
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,1303
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,14310
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,309
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42305,"Ground Nut Meal",2021,885217
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,1281
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,10
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,1
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",2021,2514.0000000000005
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,27666
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2021,12
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,2054259723
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,1048987
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",2021,5830
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,26.000000000000004
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",2021,475
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,14050
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2021,3260
6,"Chemical Products",629,"Organic chemicals",62931,"Other Organo-Inorganic Compounds",2021,256
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",2021,36611
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,1055
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,662
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,546
