Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,60374
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,3872
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2759472
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,212873
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,47144
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1672
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,4196893
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1011.9999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4008
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,963610.9999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,319971
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,18699
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,232960
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,19652500
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,85397
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,7153
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,25973
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,12075
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5866
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,50785
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,5378
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,58602
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,103921
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2943
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,46001.99999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1289.0000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,32395
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,440
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,18.000000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,59.00000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,7865
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1409543
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,513389
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,493910
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,194266
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,1607403.9999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,84630544
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,1111017
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,10553
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,2807714
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1184
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1875
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,4771
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,3418
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,8472
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,43162.99999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,899
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,28676
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,18.000000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,5046068
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,191565
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,2753.9999999999995
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,51971
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,3659
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,54138
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1129
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,265937
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,338
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,216728
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,6408892
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,9743
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,355961
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,12044359.999999998
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,889959
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,816628
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,14910.000000000002
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,10393
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,1042400
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,242956.99999999997
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,124320
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,145627819
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,5354156
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,234296802
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,3442941
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,18021
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,103831
