Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,19350
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,100319
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3070
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,21968.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,750
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,990.0000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,148083
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,127636.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,41774
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,200405
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,7044
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,204791
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,20603
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,98
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,267
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,5810113
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,133129
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,68360
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,18044
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,33
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,14260
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,2840
