Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,295
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,90
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,1251
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,12565.999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,19593
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,9904
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,15951
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,17912
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,550916
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,12167.000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,693572
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,169858
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,5073
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,17629
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,2569
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,11317
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,13178
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,4612
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,35194505
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,9983.000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,16
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,191
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,396873
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,24
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,74381
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,39
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,177
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,19
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,46
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,1420
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,472803.00000000006
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,728776
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,16379.999999999998
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,11818
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,172999
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,294551
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,278216
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,75075
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,13590.000000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,835
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,449241
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,251950
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,214
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,1420
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,151
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,233
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,81780
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,1
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,91
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,45
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,65083
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,7020
