Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,102103
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,60
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,221
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,247345.99999999997
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,769
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,29400
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,71849027
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3240
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,623758
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,257
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,132815
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,10709
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,256694
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,559852.0000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,16262
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,12687
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,12600
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,264725
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,93985
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,327320
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,14484
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,31722
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,2668
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,97679
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,43059
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,51295
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,18359
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,13140
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,1294
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,11626
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,2792
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,1701392
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,43315
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,12565
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,12177169
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,8185206
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,90202.99999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,1153300
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31522,"Fat and Oil Residues",2021,36457
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,85223.99999999999
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,168
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,220069
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,526187
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,54660.99999999999
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,905231
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,12092
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,246437.99999999997
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,14562.000000000002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,41133.99999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,33250
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,700499
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,114358
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,35
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,49888.99999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,18867
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,54.00000000000001
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,96743
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,3161044.0000000005
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",2021,407928.00000000006
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,109508
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,119809
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",2021,104120368
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,580
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,2
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,87447
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",2021,3
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,6
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,89045
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,22503
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,38
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,18900
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,1740907.0000000002
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,7108316
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",2021,4
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,230755592
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,832850899
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,6950121167
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,52365570
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52715,"Asphalt Mixtures",2021,8506511
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52716,"Electricity",2021,107429539
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",2021,14626939
6,"Chemical Products",628,"Inorganic chemicals",62803,"Carbon",2021,1244953
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,3350
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",2021,40981
6,"Chemical Products",628,"Inorganic chemicals",62819,"Chromium Oxides and Hydroxides",2021,8775
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",2021,105
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",2021,12314
