Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,109017
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,210
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,351439
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,44666
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,29570
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,24
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1925
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,4357142
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1087
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,12
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,56651386
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,35313763
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4037899
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,40683677
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,9470785
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,105585438
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,27188609.999999996
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,5315377
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,164305
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,4567171
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,21816.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1357173
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,9258212
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,2697476.0000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,7944
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,43487
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,779
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,120354
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,2572627
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1703583
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,283037
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1200647
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,619473
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,4477489
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,675683
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,79166590
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,721519
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,75733
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,3173489
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,10016
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,24761.999999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,982442
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,11062787
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,177636
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,5004065.000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,17837040
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,3433816
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,13.000000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,55424.99999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,3799984
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,35910
