Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,39203
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,456030.00000000006
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,614343.9999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,42137
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,11287
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,200
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2088
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4847
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,891778
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,9296.999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,2
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,7271
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1781865
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,121272
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,188
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,1307666
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,219415.00000000003
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,2752
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,23115
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,2483
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,3464
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,599037.0000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,14969.000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,46524
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,166.99999999999997
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,82609
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,114
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,35
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,2039.0000000000002
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,122868
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,9080
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,534334
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,65950
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,175
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,45
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,318
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,2296964
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,350
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,6606
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,11.000000000000002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1785923
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,139716
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,7358
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,286.00000000000006
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,17
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,6546.999999999999
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,215
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,2630807
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",2021,35865
