Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,530750
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,8277606
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,35895514
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,56851766
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,5560564
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,2962582
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,14589520
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,2915780
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,5852575
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,12181273
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,835553367
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,3173202
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,19286
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2126712
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,6092967
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,740936153
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,264002042
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,398017385
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,63806157
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,15048112
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,20801775
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,16424148
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,195092577
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,21842848
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,84528672
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,15802782
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,153295476
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,369179630
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,986907
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,28383785
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,338963
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,35351
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,669
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,84418560
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,598418
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,170724
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,37680
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,5236755
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,875
