Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4371
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,444.0000000000001
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,78
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,54452
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,35
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,31854
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,37252
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,60527
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,156493
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,143723
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,205643
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,625108
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,134934
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,14509269
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,8354939
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,735782
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1615388
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,808597
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,140602
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1062115
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1734720
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,14481.000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,14936
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,491898
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,3512
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1415
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,696
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1520
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,17792
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,477
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,3993
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,905
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,921.9999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,312752.99999999994
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,3174
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,621826
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,189016
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,2970
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,136164
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,6798
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,2253
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1045885
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,12310
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,2094
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,147417
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,593687
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,927
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,308772
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,95895
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,2070
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,24970
