Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,4806
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,21408500
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,273
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,386
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,2263
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,6637
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,115.99999999999999
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,57519
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,85
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",2021,1505
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,8892
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,25031.999999999996
6,"Chemical Products",629,"Organic chemicals",62926,"Nitrile Compounds",2021,158931
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,6856
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,792.9999999999999
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,17
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,1636.9999999999998
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,6.999999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,65004.99999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,165
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,270
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,15708
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,3883
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,5540
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,476.00000000000006
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,4594
