Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,15206230
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1713928
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,508831
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,61434
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,6862155
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2474912.9999999995
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,650074
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,22467635
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,3004280
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,462480
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,8731
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2346
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,401603.99999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1545319
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,4805423
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,5623357
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,71557440
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,84833479
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,13103521
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3164444
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,14543
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,148129
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1057.0000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,640.9999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1053
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,25728
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,537093
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1088
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2235135
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,8132
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,16222
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,77
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,1354
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1500
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,222231
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,2338147
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1233262
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,277338
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,176892
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,140301
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,22505014
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,8242621
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,146194
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,58023
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,35125
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,7076689
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3954
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,141
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,201466.00000000003
