Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,30084
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,899
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,4691241
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2030778
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,8884
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,342282
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,122052
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,204494
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,9468
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,93100
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,394431.99999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,21952
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,215658.00000000003
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,109822
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,29934
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,110961
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,847820.9999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1692
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,13313871
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,60771
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,305283
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,4504813
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,12686429
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,30556.999999999996
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,4034934
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,424616
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,66086
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,558882
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,59154053
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,31018048
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,21870340
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,960638
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,15583020
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,10414329
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,3029
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,29757167
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,9493785
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,6291537
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,10653639
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,228197616
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,1039.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,8667
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,28732442
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,10763
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,650406
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,4977611
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,214971106
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,22775767
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,4997319
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,146906855
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,50471966
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,7732907.000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,291154
