Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2261
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,60350
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,69
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,264
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,312
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,209924.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,13750
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,113
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,1115.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,177
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,270
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,810
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,83572
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,3
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,111084
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,875383.0000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,132
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,2312
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,76960
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,660.9999999999999
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,65664
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,313
