Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,391
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1851
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5986.000000000001
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,6364
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,74359
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,6755
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,40414
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,3024
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1271
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,39
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2179
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4891019
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,371
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,25
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,236
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,301
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,19259
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,7139
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,610
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,6332.999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,62953
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,142295
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,8
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,107
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,124
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,40
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,686
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,156
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,622
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3823
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,15567.000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,238.99999999999997
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,5877
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,140468.99999999997
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,196
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,556968
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,952110
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,20
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,21898
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,4844.000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,3157270
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,69896
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,26465.999999999996
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,8
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,276771
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,289785
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,2162.0000000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,2070
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,1943
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1307
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,8049
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,8200
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,2339
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,8
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,193076
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,73
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,150262
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,8
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,12440
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,128371.00000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,241258
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,350
