Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,141
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,2723.0000000000005
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2041.9999999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,81661159
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,82281349
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,422119
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,4283363
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,10774219
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,42176305
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,222414
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,5753052
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1300
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1354
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,126749
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,73
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,17706249
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,12189
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2386809
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2882
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,917.9999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2854728
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,243902
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,56815139
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,9267
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,2205
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,96847
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,473
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,76345
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,28815
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,39517
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1362911
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,3873662
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,2638
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,141337
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,362978
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,54807871
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1182197
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1405476
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,10632637
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,3003.9999999999995
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,60552243
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,8918
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,28446592
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,11557557.000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,277958
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,5674
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,2091
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,156155
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,699050
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,389710
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,28061
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,5071521.999999999
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,16104
