Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,26795.000000000004
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,213218
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,93545
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,792
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,7728812
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,546441
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,470824
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,302165
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,293202
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,408255
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,8887691.000000002
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,11677
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,56791
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,40055
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,898684
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1861066
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,134081
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,820799
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,6897
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,5570990.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,496012
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1804814
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,11238879
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,81832
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,54867
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,2835
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,4150595.0000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,13345
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3351698
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,10039
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3560
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,41782
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,126
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,16579
